time,open,high,low,close,tick_volume,spread
2022-09-07 17:00:00,1.14947,1.15221,1.14935,1.15158,3544,8
2022-09-07 18:00:00,1.15161,1.15171,1.14953,1.15007,2583,8
2022-09-07 19:00:00,1.15006,1.15323,1.15004,1.15307,2080,8
2022-09-07 20:00:00,1.15303,1.15391,1.15244,1.15315,835,8
2022-09-07 21:00:00,1.15265,1.15344,1.15205,1.15344,244,54
2022-09-07 22:00:00,1.15352,1.1539,1.15352,1.15387,240,40
2022-09-07 23:00:00,1.15401,1.15402,1.15161,1.15217,944,12
2022-09-08 00:00:00,1.15219,1.15259,1.15005,1.15059,2472,8
2022-09-08 01:00:00,1.15061,1.15157,1.15036,1.15053,2750,8
2022-09-08 02:00:00,1.15054,1.15132,1.1505,1.15078,1792,8
2022-09-08 03:00:00,1.15076,1.15121,1.14906,1.14993,3070,8
2022-09-08 04:00:00,1.14992,1.15107,1.14987,1.15045,1612,8
2022-09-08 05:00:00,1.15043,1.15164,1.15029,1.15125,2050,8
2022-09-08 06:00:00,1.15123,1.15215,1.1501,1.15077,4367,8
2022-09-08 07:00:00,1.15076,1.15153,1.14796,1.14864,6425,8
2022-09-08 08:00:00,1.14867,1.15012,1.14776,1.14954,5349,8
2022-09-08 09:00:00,1.14951,1.14989,1.14756,1.14955,3204,8
2022-09-08 10:00:00,1.14953,1.15514,1.14859,1.15398,4064,8
2022-09-08 11:00:00,1.15397,1.15601,1.15302,1.1554,5394,8
2022-09-08 12:00:00,1.1554,1.15593,1.14963,1.15025,15566,8
2022-09-08 13:00:00,1.15024,1.15158,1.146,1.14896,17220,8
2022-09-08 14:00:00,1.149,1.15042,1.14752,1.14903,9358,8
2022-09-08 15:00:00,1.14902,1.15096,1.14783,1.14824,5468,8
2022-09-08 16:00:00,1.14821,1.14895,1.14621,1.14813,5765,8
2022-09-08 17:00:00,1.14814,1.15165,1.14785,1.15031,4331,8
2022-09-08 18:00:00,1.15029,1.15138,1.14971,1.14971,3341,8
